YearOfBirth,Number
1880,2003
1881,2034
1882,2303
1883,2367
1884,2587
1885,2728
1886,2764
1887,2647
1888,3087
1889,2884
1890,2980
1891,2884
1892,3128
1893,2968
1894,2937
1895,2952
1896,2872
1897,2698
1898,2788
1899,2445
1900,3095
1901,2374
1902,2514
1903,2308
1904,2312
1905,2298
1906,2224
1907,2356
1908,2357
1909,2338
1910,2607
1911,2616
1912,3357
1913,3474
1914,3972
1915,5044
1916,5217
1917,5121
1918,5323
1919,5088
1920,5237
1921,5073
1922,5013
1923,4974
1924,4899
1925,4711
1926,4479
1927,4326
1928,4021
1929,3802
1930,3555
1931,3306
1932,3329
1933,3150
1934,2940
1935,2803
1936,2833
1937,2747
1938,2667
1939,2686
1940,2606
1941,2545
1942,2605
1943,2421
1944,2247
1945,2052
1946,2072
1947,2141
1948,2097
1949,2000
1950,1898
1951,1727
1952,1711
1953,1589
1954,1528
1955,1457
1956,1346
1957,1215
1958,1086
1959,1058
1960,981
1961,886
1962,796
1963,725
1964,770
1965,639
1966,620
1967,565
1968,493
1969,516
1970,527
1971,473
1972,455
1973,419
1974,495
1975,478
1976,418
1977,478
1978,442
1979,486
1980,533
1981,533
1982,561
1983,552
1984,674
1985,941
1986,1256
1987,1588
1988,1787
1989,1934
1990,2415
1991,2591
1992,3207
1993,4101
1994,4763
1995,5041
1996,6134
1997,7732
1998,10434
1999,11721
2000,12542
2001,13305
2002,16531
2003,22701
2004,21602
2005,20335
2006,19107
2007,18365
2008,18803
2009,17883
2010,17327
2011,18781
2012,20914
2013,20905
2014,20886
2015,20355